constraints,families,n_x,structural_indices,penalty_indices,id,regime,Q,n_slack,n_total,pc_n_slack,n_structural,n_penalty,objective_seed,feasible_point,feasibility_search_seed,feasibility_search_attempts,feasibility_search_seconds,feasible_mask,objective_values,optimal_indices,f_star,f_max_feasible,f_min_unconstrained,feasible_fraction
"['3*x_5 + 8*x_3 + 3*x_0 <= 5', 'x_4 + x_2 == 1', '1*x_3 + 6*x_0 + 9*x_5 + 8*x_1 + 9*x_2 <= 18']","['knapsack', 'assignment', 'knapsack']",6,"[0, 1]",[2],b_6_overlapping_01,overlapping,"[[3, -4, 4, 2, 1, 3], [0, -3, -5, -5, -1, 0], [0, 0, -2, 2, -1, 2], [0, 0, 0, 1, -1, -5], [0, 0, 0, 0, -3, -5], [0, 0, 0, 0, 0, -5]]",8,14,5,2,1,20052,010011,30052,2,0.0001616436056792736,"[False, False, True, True, False, False, False, False, True, True, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -5, -3, -13, 1, -9, -3, -18, -2, -5, -6, -14, 1, -7, -4, -17, -3, -8, -7, -17, -7, -17, -12, -27, -10, -13, -15, -23, -12, -20, -18, -31, 3, 1, 1, -6, 6, -1, 3, -9, 5, 5, 2, -3, 10, 5, 6, -4, -4, -6, -7, -14, -6, -13, -10, -22, -7, -7, -11, -16, -7, -12, -12, -22]",[19],-17.0,5.0,-31.0,0.15625
"['x_3*x_4 == 0', 'x_4 + x_1 + x_3 <= 3', 'x_0 + x_5 == 1']","['independent_set', 'cardinality', 'cardinality']",6,"[0, 2]",[1],b_6_overlapping_02,overlapping,"[[3, -2, 4, 2, -3, 4], [0, 1, -5, -3, 0, 1], [0, 0, -1, 3, 1, -2], [0, 0, 0, 3, 3, 1], [0, 0, 0, 0, -2, -4], [0, 0, 0, 0, 0, 2]]",2,8,2,2,1,20053,101010,30053,2,0.0001240009441971779,"[False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False]","[0, 2, -2, -4, 3, 6, 4, 3, -1, -1, -2, -6, 5, 6, 7, 4, 1, 4, -1, -2, 1, 5, 2, 2, -5, -4, -6, -9, -2, 0, 0, -2, 3, 9, -2, 0, 8, 15, 6, 9, 6, 10, 2, 2, 14, 19, 13, 14, 2, 9, -3, 0, 4, 12, 2, 6, 0, 5, -4, -3, 5, 11, 4, 6]",[27],-9.0,14.0,-9.0,0.375
"['5*x_0*x_0 + 3*x_0*x_1 + 5*x_0*x_2 + 4*x_1*x_1 + 5*x_1*x_2 + 3*x_2*x_2 <= 14', 'x_3 + x_4 >= 2', 'x_5*x_6 == 0']","['quadratic_knapsack', 'cardinality', 'independent_set']",7,"[0, 1, 2]",[],b_7_disjoint_01,disjoint,"[[-5, 4, -3, 0, 0, -5, -1], [0, -5, 1, 0, 2, 0, -5], [0, 0, 2, 3, 1, 0, 3], [0, 0, 0, -2, -3, -5, 4], [0, 0, 0, 0, -5, 2, -1], [0, 0, 0, 0, 0, -2, 2], [0, 0, 0, 0, 0, 0, -1]]",4,11,0,3,0,20054,0101101,30054,3,0.00016351183876395226,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -1, -2, -1, -5, -7, -5, -5, -2, 1, -9, -4, -10, -8, -15, -11, 2, 4, 0, 4, -2, -1, -2, 1, 3, 9, -4, 4, -4, 1, -9, -2, -5, -11, -7, -11, -8, -15, -8, -13, -7, -9, -14, -14, -13, -16, -18, -19, -2, -5, -4, -5, -4, -8, -4, -6, -1, 0, -8, -5, -6, -6, -11, -9, -5, -7, -12, -12, -10, -13, -15, -16, -7, -5, -19, -15, -15, -14, -25, -22, -6, -5, -13, -10, -10, -10, -15, -13, -5, 0, -17, -10, -12, -8, -22, -16, -6, -13, -13, -18, -9, -17, -14, -20, -8, -11, -20, -21, -14, -18, -24, -26, -6, -10, -13, -15, -8, -13, -13, -16, -5, -5, -17, -15, -10, -11, -20, -19]",[78],-25.0,1.0,-26.0,0.1640625
"['x_0 + x_1 == 1', '2*x_2 + 5*x_3 + 2*x_4 <= 5', 'x_5 + x_6 >= 1']","['assignment', 'knapsack', 'cardinality']",7,"[0, 1, 2]",[],b_7_disjoint_02,disjoint,"[[-4, 4, -5, 0, -1, -5, 4], [0, 2, 1, -4, -5, -5, 4], [0, 0, 2, -5, 4, 2, 1], [0, 0, 0, -3, 3, -2, 4], [0, 0, 0, 0, -5, 2, 4], [0, 0, 0, 0, 0, -1, 4], [0, 0, 0, 0, 0, 0, -5]]",4,11,0,3,0,20055,1000111,30055,3,0.00012674275785684586,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True, False, True, True, True, False, False, False, False, False, True, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True, False, True, True, True, False, False, False, False, False, True, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -5, -1, -2, -5, -6, -4, -1, -3, -4, -6, -3, -5, -2, -6, 1, 2, -2, 3, 3, 1, 1, 4, 8, -6, -6, -7, -3, -4, 0, -3, 5, 2, 1, -4, -1, -8, -5, -12, -5, -5, -2, -13, -6, -12, -5, -18, -7, 5, 5, 1, 5, -1, 3, -3, 5, -7, -3, -13, -5, -10, -2, -14, -2, -4, -5, -10, -7, -10, -7, -14, -7, -7, -4, -15, -8, -10, -3, -16, -5, -7, -7, -11, -7, -9, -5, -11, -3, -15, -11, -21, -13, -14, -6, -18, -6, 2, 5, -9, -2, -9, -2, -18, -7, -5, 2, -18, -7, -13, -2, -24, -9, 0, 4, -9, -1, -7, 1, -14, -2, -12, -4, -23, -11, -16, -4, -25, -9]",[74],-15.0,5.0,-25.0,0.234375
"['x_2 + x_0 - x_5 - x_3 == 0', 'x_4 + x_0 + x_2 - x_1 - x_5 - x_3 == 0']","['flow', 'flow']",7,[0],[1],b_7_overlapping_01,overlapping,"[[1, 1, 3, -1, 3, -5, -3], [0, -5, -5, 0, 4, -5, 4], [0, 0, 3, -2, -3, 4, 0], [0, 0, 0, -4, -2, -1, 3], [0, 0, 0, 0, -2, -4, 2], [0, 0, 0, 0, 0, 4, 1], [0, 0, 0, 0, 0, 0, 3]]",0,7,0,1,1,20056,0100101,30056,3,0.00013444200158119202,"[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True]","[0, 3, 4, 8, -2, 3, -2, 4, -4, 2, -1, 6, -8, 0, -9, 0, 3, 6, 11, 15, -2, 3, 2, 8, -3, 3, 4, 11, -10, -2, -7, 2, -5, 2, -6, 2, -3, 6, -8, 2, -9, 1, -11, 0, -9, 3, -15, -2, -7, 0, -4, 4, -8, 1, -9, 1, -13, -3, -11, 0, -16, -4, -18, -5, 1, 1, 0, 1, 2, 4, -3, 0, -4, -1, -6, -2, -5, 0, -11, -5, 7, 7, 10, 11, 5, 7, 4, 7, 0, 3, 2, 6, -4, 1, -6, 0, -3, 1, -9, -4, 2, 8, -8, -1, -8, -1, -15, -7, -5, 4, -16, -6, -2, 2, -4, 1, 0, 6, -6, 1, -9, -2, -12, -4, -9, 0, -16, -6]","[60, 126]",-16.0,15.0,-18.0,0.1875
"['5*x_1*x_1 + 3*x_1*x_0 + 5*x_1*x_2 + 4*x_0*x_0 + 5*x_0*x_2 + 3*x_2*x_2 <= 14', '5*x_0*x_0 + 2*x_0*x_6 + 2*x_0*x_2 + 3*x_0*x_3 + 1*x_0*x_4 + 1*x_6*x_6 + 4*x_6*x_2 + 4*x_6*x_3 + 3*x_6*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 23', '5*x_1*x_1 + 1*x_1*x_2 + 2*x_1*x_5 + 5*x_2*x_2 + 1*x_2*x_5 + 3*x_5*x_5 <= 6']","['quadratic_knapsack', 'quadratic_knapsack', 'quadratic_knapsack']",7,[0],"[1, 2]",b_7_overlapping_02,overlapping,"[[1, 4, 4, 1, -2, -5, -1], [0, -1, -5, -2, -2, -3, -5], [0, 0, 3, 3, 1, 1, 3], [0, 0, 0, 0, -5, 3, -3], [0, 0, 0, 0, 3, 3, 4], [0, 0, 0, 0, 0, 4, 4], [0, 0, 0, 0, 0, 0, 2]]",12,19,8,1,2,20057,0100100,30057,1,0.000142775010317564,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, False, True, True, False, False, True, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, 2, 4, 10, 3, 9, 10, 20, 0, -1, 7, 10, -2, 1, 8, 15, 3, 8, 8, 17, 7, 16, 15, 28, 6, 8, 14, 20, 5, 11, 16, 26, -1, -4, 0, 1, 0, 1, 4, 9, -3, -9, 1, -1, -7, -9, 0, 2, -3, -3, -1, 3, -1, 3, 4, 12, -2, -5, 3, 4, -5, -4, 3, 8, 1, 2, 0, 5, 2, 7, 4, 13, 2, 0, 4, 6, -2, 0, 3, 9, 8, 12, 8, 16, 10, 18, 13, 25, 12, 13, 15, 20, 9, 14, 15, 24, 4, 0, 0, 0, 3, 3, 2, 6, 3, -4, 2, -1, -3, -6, -1, 0, 6, 5, 3, 6, 6, 9, 6, 13, 8, 4, 8, 8, 3, 3, 6, 10]","[41, 45]",-9.0,20.0,-9.0,0.4375
"['x_0*x_1 == 0', 'x_2 - x_3 == 0', 'x_4 + x_5 + x_6 + x_7 >= 1']","['independent_set', 'flow', 'cardinality']",8,"[0, 1, 2]",[],b_8_disjoint_01,disjoint,"[[-3, 2, 4, -2, -4, 0, -1, 1], [0, -1, 3, 0, 1, -2, -3, -1], [0, 0, -2, 0, 1, 2, 4, -5], [0, 0, 0, 1, -2, 3, 2, 2], [0, 0, 0, 0, 0, 3, -4, -5], [0, 0, 0, 0, 0, 1, -3, -5], [0, 0, 0, 0, 0, 0, -4, -4], [0, 0, 0, 0, 0, 0, 0, 1]]",2,10,0,3,0,20058,00110100,30058,1,0.0001253550872206688,"[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, 1, -4, -7, 1, -3, -6, -14, 0, -4, -8, -16, 4, -5, -7, -20, 1, 4, -1, -2, 5, 3, 0, -6, -1, -3, -7, -13, 6, -1, -3, -14, -2, -6, -2, -10, 1, -8, -2, -15, -1, -10, -5, -18, 5, -9, -2, -20, -1, -3, 1, -5, 5, -2, 4, -7, -2, -9, -4, -15, 7, -5, 2, -14, -1, -1, -8, -12, -2, -7, -12, -21, 0, -5, -11, -20, 2, -8, -12, -26, 0, 2, -5, -7, 2, -1, -6, -13, -1, -4, -10, -17, 4, -4, -8, -20, 0, -5, -3, -12, 1, -9, -5, -19, 2, -8, -5, -19, 6, -9, -4, -23, 1, -2, 0, -7, 5, -3, 1, -11, 1, -7, -4, -16, 8, -5, 0, -17, -3, -1, -8, -10, -2, -5, -10, -17, -7, -10, -16, -23, -3, -11, -15, -27, -4, 0, -7, -7, 0, -1, -6, -11, -10, -11, -17, -22, -3, -9, -13, -23, -1, -4, -2, -9, 2, -6, -2, -14, -4, -12, -9, -21, 2, -11, -6, -23, -2, -3, -1, -6, 4, -2, 2, -8, -7, -13, -10, -20, 2, -9, -4, -19, -2, -1, -10, -13, -3, -7, -14, -22, -5, -9, -17, -25, -3, -12, -18, -31, -3, 0, -9, -10, -1, -3, -10, -16, -8, -10, -18, -24, -3, -10, -16, -27, 3, -1, -1, -9, 4, -5, -3, -16, 1, -8, -7, -20, 5, -9, -6, -24, 2, 0, 0, -6, 6, -1, 1, -10, -2, -9, -8, -19, 5, -7, -4, -20]",[143],-27.0,8.0,-31.0,0.3515625
"['x_0 + x_1 == 1', 'x_2*x_3 == 0', 'x_4 + x_5 + x_6 + x_7 <= 4']","['assignment', 'independent_set', 'cardinality']",8,"[0, 1, 2]",[],b_8_disjoint_02,disjoint,"[[0, -1, -2, -2, -3, 3, 2, 4], [0, -5, -3, -1, 1, 0, 1, -3], [0, 0, 1, -3, -1, 1, -3, 2], [0, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, -2, -2, -4, -4], [0, 0, 0, 0, 0, -2, 3, -5], [0, 0, 0, 0, 0, 0, 4, -1], [0, 0, 0, 0, 0, 0, 0, -1]]",3,11,0,3,0,20059,01000011,30059,2,0.00012689828872680664,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -1, 4, 2, -2, -8, 5, -2, -2, -7, -2, -8, -6, -16, -3, -14, 0, 1, 6, 6, -2, -6, 7, 2, -2, -5, 0, -4, -6, -14, -1, -10, 1, 2, 2, 2, 0, -4, 4, -1, -2, -5, -5, -9, -5, -13, -5, -14, -2, 1, 1, 3, -3, -5, 3, 0, -5, -6, -6, -8, -8, -14, -6, -13, -5, -9, 0, -5, -7, -16, 1, -9, -6, -14, -5, -14, -10, -23, -6, -20, -6, -8, 1, -2, -8, -15, 2, -6, -7, -13, -4, -11, -11, -22, -5, -17, -7, -9, -5, -8, -8, -15, -3, -11, -9, -15, -11, -18, -12, -23, -11, -23, -11, -11, -7, -8, -12, -17, -5, -11, -13, -17, -13, -18, -16, -25, -13, -23, 0, 3, 6, 8, 1, -1, 10, 7, -5, -6, -3, -5, -6, -12, -1, -8, -2, 3, 6, 10, -1, -1, 10, 9, -7, -6, -3, -3, -8, -12, -1, -6, -1, 4, 2, 6, 1, 1, 7, 6, -7, -6, -8, -8, -7, -11, -5, -10, -6, 1, -1, 5, -4, -2, 4, 5, -12, -9, -11, -9, -12, -14, -8, -11, -6, -6, 1, 0, -5, -10, 5, -1, -10, -14, -7, -12, -11, -20, -5, -15, -9, -7, 0, 1, -8, -11, 4, 0, -13, -15, -8, -11, -14, -21, -6, -14, -10, -8, -6, -5, -8, -11, -1, -5, -15, -17, -15, -18, -15, -22, -12, -20, -16, -12, -10, -7, -14, -15, -5, -7, -21, -21, -19, -20, -21, -26, -16, -22]","[77, 109, 111]",-23.0,10.0,-26.0,0.375
"['2*x_7*x_7 + 5*x_7*x_5 + 4*x_7*x_6 + 4*x_7*x_2 + 3*x_7*x_3 + 4*x_5*x_5 + 4*x_5*x_6 + 1*x_5*x_2 + 2*x_5*x_3 + 3*x_6*x_6 + 1*x_6*x_2 + 4*x_6*x_3 + 3*x_2*x_2 + 4*x_2*x_3 + 3*x_3*x_3 <= 16', '3*x_0 + 1*x_4 + 4*x_6 + 8*x_2 <= 7']","['quadratic_knapsack', 'knapsack']",8,[0],[1],b_8_overlapping_01,overlapping,"[[4, -2, -5, -2, 0, -5, 4, -4], [0, 1, -4, -5, -5, -2, 3, -5], [0, 0, 2, 1, 2, 2, -2, -3], [0, 0, 0, 0, -3, -1, -5, -2], [0, 0, 0, 0, -2, 0, -3, -4], [0, 0, 0, 0, 0, 4, -5, 0], [0, 0, 0, 0, 0, 0, -4, -1], [0, 0, 0, 0, 0, 0, 0, 2]]",8,16,3,1,1,20060,00000011,30060,4,0.00018313713371753693,"[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, True, False, False, True, True, True, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, True, False, False, True, True, True, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, 2, -4, -3, 4, 6, -5, -4, -2, -4, -9, -12, 2, 0, -10, -13, 0, 0, -9, -10, 3, 3, -11, -12, -5, -9, -17, -22, -2, -6, -19, -24, 2, 1, -4, -6, 8, 7, -3, -5, 2, -3, -7, -13, 8, 3, -6, -12, 3, 0, -8, -12, 8, 5, -8, -12, 0, -7, -14, -22, 5, -2, -14, -22, 1, -2, 0, -4, 3, 0, -3, -7, -6, -13, -10, -18, -4, -11, -13, -21, -4, -9, -10, -16, -3, -8, -14, -20, -14, -23, -23, -33, -13, -22, -27, -37, -1, -7, -4, -11, 3, -3, -5, -12, -6, -16, -12, -23, -2, -12, -13, -24, -5, -13, -13, -22, -2, -10, -15, -24, -13, -25, -24, -37, -10, -22, -26, -39, 4, 2, 4, 1, 3, 1, -2, -5, 2, -4, -1, -8, 1, -5, -7, -14, 2, -2, -3, -8, 0, -4, -10, -15, -3, -11, -11, -20, -5, -13, -18, -27, 1, -4, -1, -7, 2, -3, -5, -11, 1, -8, -4, -14, 2, -7, -8, -18, 0, -7, -7, -15, 0, -7, -12, -20, -3, -14, -13, -25, -3, -14, -18, -30, 3, -4, 6, -2, 0, -7, -2, -10, -4, -15, -4, -16, -7, -18, -12, -24, -4, -13, -6, -16, -8, -17, -15, -25, -14, -27, -19, -33, -18, -31, -28, -42, -4, -14, -3, -14, -5, -15, -9, -20, -9, -23, -11, -26, -10, -24, -17, -32, -10, -22, -14, -27, -12, -24, -21, -34, -18, -34, -25, -42, -20, -36, -32, -49]",[217],-27.0,6.0,-49.0,0.3125
"['x_7 + x_3 - x_0 - x_1 - x_4 == 0', '8*x_3 + 10*x_1 + 1*x_4 + 2*x_0 <= 12']","['flow', 'knapsack']",8,[0],[1],b_8_overlapping_02,overlapping,"[[2, 1, 2, 4, 1, 3, -5, -4], [0, -3, -1, 4, 1, -5, 4, 2], [0, 0, -1, -2, -1, -5, -5, -5], [0, 0, 0, -4, 4, 0, -5, -4], [0, 0, 0, 0, 0, -1, -5, -4], [0, 0, 0, 0, 0, 4, -1, 1], [0, 0, 0, 0, 0, 0, -1, -4], [0, 0, 0, 0, 0, 0, 0, -4]]",4,12,4,1,1,20061,00000010,30061,5,0.0001702830195426941,"[True, False, True, False, True, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, False, True, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -4, -1, -9, 4, 1, 2, -5, 0, -8, -6, -18, 3, -4, -4, -15, -4, -12, -10, -22, 0, -7, -7, -18, 0, -12, -11, -27, 3, -8, -9, -24, -1, -10, -7, -20, -2, -10, -9, -21, -2, -15, -13, -30, -4, -16, -16, -32, -7, -20, -18, -35, -8, -20, -20, -36, -4, -21, -20, -41, -6, -22, -23, -43, -3, -5, 0, -6, -4, -5, -2, -7, -2, -8, -4, -14, -4, -9, -7, -16, -3, -9, -5, -15, -4, -9, -7, -16, 2, -8, -5, -19, 0, -9, -8, -21, -5, -12, -7, -18, -11, -17, -14, -24, -5, -16, -12, -27, -12, -22, -20, -34, -7, -18, -14, -29, -13, -23, -21, -35, -3, -18, -15, -34, -10, -24, -23, -41, 2, -6, -4, -16, 9, 2, 2, -9, 3, -9, -8, -24, 9, -2, -3, -18, 2, -10, -9, -25, 9, -2, -3, -18, 7, -9, -9, -29, 13, -2, -4, -23, 3, -10, -8, -25, 5, -7, -7, -23, 3, -14, -13, -34, 4, -12, -13, -33, 1, -16, -15, -36, 3, -13, -14, -34, 5, -16, -16, -41, 6, -14, -16, -40, 0, -6, -2, -12, 2, -3, -1, -10, 2, -8, -5, -19, 3, -6, -5, -18, 4, -6, -3, -17, 6, -3, -2, -15, 10, -4, -2, -20, 11, -2, -2, -19, 0, -11, -7, -22, -3, -13, -11, -25, 1, -14, -11, -30, -3, -17, -16, -34, 2, -13, -10, -29, -1, -15, -14, -32, 7, -12, -10, -33, 3, -15, -15, -37]",[187],-41.0,9.0,-43.0,0.21875
