id,support,family,constraint,feasible_mask,feasible_count,feasible_fraction
a_6_positive_01,6,positive,3*x_0 + 4*x_1 + 1*x_2 + 4*x_3 + 3*x_4 + 5*x_5 <= 9,"[True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False]",30,0.46875
a_6_positive_02,6,positive,5*x_0 + 1*x_1 + 5*x_2 + 5*x_3 + 2*x_4 + 2*x_5 <= 12,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, False, False, False, False, True, True, True, True, True, False, False, False, True, False, False, False, False, False, False, False]",44,0.6875
a_6_positive_03,6,positive,2*x_0 + 5*x_1 + 3*x_2 + 5*x_3 + 3*x_4 + 3*x_5 <= 8,"[True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, True, True, True, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",24,0.375
a_6_quadratic_01,6,quadratic,1*x_0*x_0 + 3*x_0*x_1 + 2*x_0*x_2 + 1*x_0*x_3 + 2*x_0*x_4 + 1*x_0*x_5 + 1*x_1*x_1 + 2*x_1*x_2 + 3*x_1*x_3 + 1*x_1*x_4 + 1*x_1*x_5 + 1*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 2*x_2*x_5 + 3*x_3*x_3 + 2*x_3*x_4 + 2*x_3*x_5 + 3*x_4*x_4 + 2*x_4*x_5 + 3*x_5*x_5 <= 19,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, False, True, True, True, False, False, False, False, False]",48,0.75
a_6_quadratic_02,6,quadratic,1*x_0*x_0 + 3*x_0*x_1 + 2*x_0*x_2 + 3*x_0*x_3 + 2*x_0*x_4 + 3*x_0*x_5 + 2*x_1*x_1 + 2*x_1*x_2 + 2*x_1*x_3 + 2*x_1*x_4 + 1*x_1*x_5 + 2*x_2*x_2 + 1*x_2*x_3 + 1*x_2*x_4 + 2*x_2*x_5 + 1*x_3*x_3 + 3*x_3*x_4 + 2*x_3*x_5 + 1*x_4*x_4 + 2*x_4*x_5 + 2*x_5*x_5 <= 26,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False]",58,0.90625
a_7_equality_01,7,equality,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 + 1*x_4 + 5*x_5 + 3*x_6 == 16,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False]",11,0.0859375
a_7_equality_02,7,equality,1*x_0 + 3*x_1 + 4*x_2 + 3*x_3 + 3*x_4 + 1*x_5 + 2*x_6 == 6,"[False, False, False, False, False, False, False, True, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",11,0.0859375
a_7_equality_03,7,equality,2*x_0 + 4*x_1 + 4*x_2 + 4*x_3 + 2*x_4 + 5*x_5 + 1*x_6 == 9,"[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",10,0.078125
a_7_mixed_01,7,mixed,3*x_0 - 5*x_1 + 5*x_2 - 1*x_3 - 2*x_4 + 5*x_5 - 1*x_6 <= 2,"[True, True, False, False, True, True, False, True, True, True, False, False, True, True, True, True, False, False, False, False, False, True, False, False, False, False, False, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, True, True, True, False, False, True, True, True, True, False, True, False, False, True, True, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, True, True, False, False, True, True, False, False, True, True, False, False]",70,0.546875
a_7_mixed_02,7,mixed,3*x_0 - 4*x_1 - 5*x_2 - 4*x_3 - 3*x_4 - 3*x_5 - 3*x_6 <= -8,"[False, False, False, False, False, False, False, True, False, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",83,0.6484375
a_7_positive_01,7,positive,2*x_0 + 4*x_1 + 1*x_2 + 1*x_3 + 4*x_4 + 2*x_5 + 3*x_6 <= 5,"[True, True, True, True, True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, True, False, True, False, False, False, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",27,0.2109375
a_7_positive_02,7,positive,5*x_0 + 5*x_1 + 4*x_2 + 2*x_3 + 1*x_4 + 2*x_5 + 1*x_6 <= 9,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",59,0.4609375
a_7_quadratic_01,7,quadratic,1*x_0*x_0 + 2*x_0*x_1 + 1*x_0*x_2 + 2*x_0*x_3 + 2*x_0*x_4 + 2*x_0*x_5 + 3*x_0*x_6 + 3*x_1*x_1 + 3*x_1*x_2 + 3*x_1*x_3 + 1*x_1*x_4 + 1*x_1*x_5 + 3*x_1*x_6 + 1*x_2*x_2 + 1*x_2*x_3 + 2*x_2*x_4 + 2*x_2*x_5 + 2*x_2*x_6 + 2*x_3*x_3 + 1*x_3*x_4 + 3*x_3*x_5 + 1*x_3*x_6 + 1*x_4*x_4 + 1*x_4*x_5 + 2*x_4*x_6 + 2*x_5*x_5 + 2*x_5*x_6 + 3*x_6*x_6 <= 28,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False, True, True, True, False, True, False, True, False, True, False, False, False, True, False, False, False]",109,0.8515625
a_7_quadratic_02,7,quadratic,1*x_0*x_0 + 2*x_0*x_1 + 2*x_0*x_2 + 1*x_0*x_3 + 3*x_0*x_4 + 1*x_0*x_5 + 3*x_0*x_6 + 1*x_1*x_1 + 3*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 1*x_1*x_5 + 2*x_1*x_6 + 3*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 3*x_2*x_5 + 3*x_2*x_6 + 2*x_3*x_3 + 2*x_3*x_4 + 2*x_3*x_5 + 2*x_3*x_6 + 1*x_4*x_4 + 2*x_4*x_5 + 3*x_4*x_6 + 3*x_5*x_5 + 2*x_5*x_6 + 3*x_6*x_6 <= 33,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, True, False, True, False, False, False]",111,0.8671875
a_7_quadratic_03,7,quadratic,2*x_0*x_0 + 3*x_0*x_1 + 3*x_0*x_2 + 2*x_0*x_3 + 2*x_0*x_4 + 1*x_0*x_5 + 3*x_0*x_6 + 1*x_1*x_1 + 1*x_1*x_2 + 1*x_1*x_3 + 3*x_1*x_4 + 1*x_1*x_5 + 1*x_1*x_6 + 1*x_2*x_2 + 1*x_2*x_3 + 1*x_2*x_4 + 1*x_2*x_5 + 3*x_2*x_6 + 1*x_3*x_3 + 2*x_3*x_4 + 1*x_3*x_5 + 1*x_3*x_6 + 3*x_4*x_4 + 3*x_4*x_5 + 2*x_4*x_6 + 2*x_5*x_5 + 3*x_5*x_6 + 3*x_6*x_6 <= 25,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, False, True, False, False, False, False, False]",103,0.8046875
a_8_equality_01,8,equality,4*x_0 + 1*x_1 + 1*x_2 + 3*x_3 + 1*x_4 + 2*x_5 + 4*x_6 + 1*x_7 == 9,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",27,0.10546875
a_8_equality_02,8,equality,1*x_0 + 1*x_1 + 3*x_2 + 4*x_3 + 1*x_4 + 2*x_5 + 5*x_6 + 5*x_7 == 11,"[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",22,0.0859375
a_8_mixed_01,8,mixed,-1*x_0 + 2*x_1 + 5*x_2 - 2*x_3 + 5*x_4 - 3*x_5 + 4*x_6 + 3*x_7 <= 6,"[True, True, True, False, True, True, True, True, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, False, True, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, False, False, True, True, True, False, False, False, False, False, True, False, False, False, True, True, True, False, True, True, True, True, False, False, False, False, True, False, False, False, True, True, True, False, True, True, True, True, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False, True, True, True, False, True, True, True, True, False, False, False, False, True, False, False, False, True, True, True, False, True, True, True, True, True, False, False, False, True, True, False, False, True, True, True, True, True, True, True, True, True, False, False, False, True, True, True, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, False, False, False, False, False, True, False, False, False]",128,0.5
a_8_mixed_02,8,mixed,4*x_0 - 2*x_1 + 1*x_2 - 1*x_3 + 3*x_4 + 5*x_5 + 1*x_6 - 3*x_7 <= 3,"[True, True, True, True, False, True, False, True, True, True, False, True, False, False, False, False, True, True, True, True, False, True, False, True, True, True, True, True, False, False, False, False, True, True, True, True, False, True, False, False, False, True, False, True, False, False, False, False, True, True, True, True, False, True, False, True, True, True, False, True, False, False, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, False, True, True, True, True, True, False, False, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, True, False, True, False, False, False, False, True, True, True, True, False, True, False, False, False, True, False, True, False, False, False, False, True, True, False, True, False, False, False, False, False, True, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, True, False, True, False, False, False, False]",116,0.453125
a_8_mixed_03,8,mixed,5*x_0 - 1*x_1 + 4*x_2 - 3*x_3 + 4*x_4 + 4*x_5 - 3*x_6 + 2*x_7 <= 5,"[True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",118,0.4609375
a_8_positive_01,8,positive,1*x_0 + 1*x_1 + 5*x_2 + 5*x_3 + 3*x_4 + 1*x_5 + 4*x_6 + 2*x_7 <= 8,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",77,0.30078125
a_8_positive_02,8,positive,5*x_0 + 3*x_1 + 2*x_2 + 1*x_3 + 5*x_4 + 4*x_5 + 5*x_6 + 4*x_7 <= 16,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, False, False, False, True, True, True, False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False]",163,0.63671875
