constraints_hash,constraint_type,n_x,n_c,qubo_string,has_feasible_solution,n_layers_h,total_time_hr_h,AR_h,AR_feas_h,p_feasible_h,p_optimal_h,converged_h,finished_h,n_layers_p,total_time_hr_p,AR_p,AR_feas_p,p_feasible_p,p_optimal_p,converged_p,finished_p,max_total_time_hr,min_total_time_hr
"['x_0 + x_2 <= 0', 'x_1 + x_2 + x_3 == 2', 'x_1 + x_2 <= 1']",cardinality+cardinality+cardinality,4,3, 2*x_0 + -4*x_0 x_1 + 4*x_0 x_2 + -4*x_0 x_3 + 2*x_1 x_2 + 2*x_2,True,2,0.0019030946493148804,0.9988911872560009,,0.9957,0.9957,True,True,2.0,0.0025554553005430435,0.9997790050065328,,0.9985,0.9985,True,True,0.0025554553005430435,0.0019030946493148804
"['x_0 + x_1 + x_3 + x_2 >= 1', 'x_0 + x_2 <= 2']",cardinality+cardinality,5,2, -2*x_0 + -3*x_0 x_1 + -2*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + -5*x_1 + 2*x_1 x_2 + -1*x_1 x_3 + -4*x_1 x_4 + -2*x_2 + -4*x_2 x_3 + -1*x_2 x_4 + -5*x_3 + -5*x_3 x_4,True,1,0.0020738697714275784,0.9631317501690397,0.60835,0.9994,0.1512,True,True,1.0,0.0030025348398420547,0.9487703491447571,0.4017264705882352,0.9935,0.0836,True,True,0.0030025348398420547,0.0020738697714275784
"['x_1 + x_4 + x_3 + x_0 >= 3', 'x_2 + x_5 + x_0 + x_3 == 2']",cardinality+cardinality,6,2, -5*x_0 + -1*x_0 x_1 + 3*x_0 x_2 + -5*x_0 x_3 + 1*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_5 + 3*x_2 + -4*x_2 x_4 + 2*x_2 x_5 + 3*x_3 + 2*x_3 x_4 + -1*x_3 x_5 + 4*x_4 + 2*x_5,True,1,0.0023588960700564915,0.9816496960588487,0.73973125,0.9814,0.0,True,True,1.0,0.003009528120358785,0.9753357084748829,0.3944625,0.8813,0.0002,True,True,0.003009528120358785,0.0023588960700564915
"['x_1 + x_5 + x_4 + x_0 == 1', 'x_3 + x_0 + x_5 - x_4 - x_2 == 0', 'x_4*x_2 == 0']",cardinality+flow+independent_set,6,3, -4*x_0 + 2*x_0 x_1 + -4*x_0 x_2 + 1*x_0 x_3 + -4*x_0 x_4 + 1*x_1 + 4*x_1 x_2 + -3*x_1 x_3 + -1*x_1 x_5 + 2*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + 3*x_3 + 4*x_3 x_4 + -4*x_3 x_5 + -1*x_4 + 3*x_4 x_5 + -1*x_5,True,1,0.0029713980356852214,0.9880604132089139,0.9967764705882354,0.9969,0.9966,True,True,1.0,0.0032282421323988173,0.9772973127204446,0.7019000000000001,0.8881,0.4359,True,True,0.0032282421323988173,0.0029713980356852214
"['x_0 + x_1 + x_3 + x_4 + x_2 <= 3', 'x_4 + x_2 == 1']",cardinality+cardinality,5,2, -3*x_0 + 1*x_0 x_1 + 2*x_0 x_2 + 1*x_0 x_3 + 2*x_0 x_4 + 3*x_1 + 3*x_1 x_2 + 2*x_1 x_3 + 1*x_1 x_4 + -2*x_2 + -1*x_2 x_3 + -1*x_2 x_4 + 2*x_3 + -3*x_3 x_4 + -2*x_4,True,1,0.0032972950405544704,0.9699807338827399,0.9352,0.9704,0.8999,True,True,1.0,0.002716031273206075,0.9967504349285052,0.94477,0.9985,0.4909,True,True,0.0032972950405544704,0.002716031273206075
"['1*x_3*x_3 + 4*x_3*x_2 + 1*x_3*x_4 + 5*x_3*x_0 + 2*x_2*x_2 + 3*x_2*x_4 + 3*x_2*x_0 + 5*x_4*x_4 + 4*x_4*x_0 + 5*x_0*x_0 <= 22', 'x_3 + x_1 >= 2']",quadratic_knapsack+cardinality,5,2, -2*x_0 + -3*x_0 x_1 + -2*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + -5*x_1 + 2*x_1 x_2 + -1*x_1 x_3 + -4*x_1 x_4 + -2*x_2 + -4*x_2 x_3 + -1*x_2 x_4 + -5*x_3 + -5*x_3 x_4,True,2,0.003350214163462321,0.9374026647801392,0.37597222222222215,0.9549,0.0238,True,True,,,,,,,,False,0.003350214163462321,0.003350214163462321
"['x_1 + x_0 + x_4 <= 1', 'x_4 + x_1 + x_3 == 0']",cardinality+cardinality,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,True,1,0.0011418577035268147,0.9945369146344932,0.6645333333333332,0.9899,0.5033,True,True,2.0,0.0036215259631474815,0.991643380720502,0.7587999999999999,0.9492,0.5937,True,True,0.0036215259631474815,0.0011418577035268147
"['4*x_2 + 6*x_4 + 1*x_5 + 1*x_0 <= 6', '4*x_3*x_3 + 1*x_3*x_6 + 4*x_3*x_2 + 3*x_3*x_5 + 4*x_6*x_6 + 5*x_6*x_2 + 4*x_6*x_5 + 3*x_2*x_2 + 5*x_2*x_5 + 5*x_5*x_5 <= 24']",quadratic_knapsack+knapsack,7,2, 4*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + 3*x_0 x_3 + 1*x_0 x_4 + -3*x_0 x_5 + -3*x_0 x_6 + -5*x_1 + -2*x_1 x_2 + -5*x_1 x_3 + -4*x_1 x_4 + -4*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + 2*x_2 x_4 + -4*x_2 x_5 + -4*x_2 x_6 + -2*x_3 + 2*x_3 x_4 + -5*x_3 x_5 + -2*x_3 x_6 + 2*x_4 + 1*x_4 x_5 + 3*x_4 x_6 + 4*x_5 + -4*x_5 x_6 + -2*x_6,True,1,0.004044366280237834,0.9482482272553941,0.5205138888888889,0.9993,0.0509,True,True,,,,,,,,False,0.004044366280237834,0.004044366280237834
"['x_2 + x_0 == 1', 'x_4 + x_5 + x_1 + x_0 + x_3 == 0']",assignment+cardinality,6,2, 1*x_0 + 4*x_0 x_1 + 3*x_0 x_2 + -1*x_0 x_3 + -3*x_0 x_4 + -1*x_1 + -5*x_1 x_2 + -3*x_1 x_3 + -2*x_1 x_4 + -1*x_1 x_5 + -1*x_2 + 4*x_2 x_4 + -5*x_2 x_5 + 3*x_3 + 4*x_3 x_4 + -1*x_3 x_5 + -3*x_4 + 3*x_4 x_5 + 2*x_5,True,2,0.004541895522011651,0.9994765327777745,,0.9877,0.9877,True,True,1.0,0.002444451517528958,0.9836798371136348,,0.771,0.771,True,True,0.004541895522011651,0.002444451517528958
"['x_3 + x_0 + x_4 + x_5 + x_2 >= 2', 'x_5 + x_1 >= 0']",cardinality+cardinality,6,2, 4*x_0 + -1*x_0 x_1 + 3*x_0 x_2 + -1*x_0 x_3 + -4*x_0 x_4 + 1*x_0 x_5 + 3*x_1 + 1*x_1 x_2 + -3*x_1 x_3 + -5*x_1 x_4 + -2*x_1 x_5 + -2*x_2 + -4*x_2 x_3 + -3*x_2 x_4 + 2*x_2 x_5 + -5*x_3 + -2*x_3 x_4 + 4*x_4 + -5*x_5,True,1,0.0034857996304829917,0.9840751301119596,0.8298689655172413,1.0,0.2702,True,True,1.0,0.004974647826618619,0.9716160805310836,0.38489310344827593,0.9022,0.0091,True,True,0.004974647826618619,0.0034857996304829917
"['2*x_5*x_5 + 5*x_5*x_6 + 4*x_5*x_0 + 2*x_5*x_2 + 4*x_5*x_4 + 5*x_6*x_6 + 5*x_6*x_0 + 2*x_6*x_2 + 1*x_6*x_4 + 4*x_0*x_0 + 1*x_0*x_2 + 2*x_0*x_4 + 5*x_2*x_2 + 4*x_2*x_4 + 2*x_4*x_4 <= 29', 'x_0 + x_6 + x_1 + x_3 + x_5 >= 3']",quadratic_knapsack+cardinality,7,2, -4*x_0 + -1*x_0 x_1 + 4*x_0 x_2 + 2*x_0 x_3 + -5*x_0 x_4 + 2*x_0 x_5 + -5*x_0 x_6 + 3*x_1 + 3*x_1 x_2 + 4*x_1 x_4 + 3*x_1 x_5 + -2*x_1 x_6 + -5*x_2 + 2*x_2 x_3 + -5*x_2 x_4 + 1*x_2 x_5 + 3*x_2 x_6 + -5*x_3 + -4*x_3 x_4 + 4*x_3 x_5 + 1*x_3 x_6 + -4*x_4 + -5*x_4 x_5 + -5*x_4 x_6 + -3*x_5 x_6 + 3*x_6,True,1,0.005131151543723213,0.9741537325868992,0.34786285714285714,0.8539,0.014,True,True,,,,,,,,False,0.005131151543723213,0.005131151543723213
"['x_1 + x_4 + x_2 >= 1', 'x_2 + x_1 + x_3 + x_4 >= 0']",cardinality+cardinality,6,2, -5*x_0 + -4*x_0 x_1 + -3*x_0 x_2 + -5*x_0 x_3 + 1*x_0 x_4 + -4*x_0 x_5 + -3*x_1 + -1*x_1 x_2 + 3*x_1 x_3 + -2*x_1 x_4 + 4*x_1 x_5 + -2*x_2 + -1*x_2 x_3 + -4*x_2 x_4 + 4*x_3 + -5*x_3 x_4 + 4*x_3 x_5 + -2*x_4 + -5*x_5,True,1,0.0023634371492597794,0.9692593268366052,0.6306054054054053,0.9813,0.024,True,True,1.0,0.005181543827056885,0.9707120146025764,0.6556783783783785,0.9967,0.1656,True,True,0.005181543827056885,0.0023634371492597794
"['x_0 + x_2 - x_3 == 0', 'x_3 + x_2 + x_1 == 2', 'x_3 + x_2 <= 2']",cardinality+cardinality+flow,4,3, 4*x_0 x_1 + 1*x_0 x_2 + 1*x_0 x_3 + -1*x_1 + 1*x_1 x_2 + 4*x_1 x_3 + -2*x_2 + -1*x_2 x_3 + 4*x_3,True,1,0.001745117770300971,0.9747279962951653,0.9693999999999999,0.9694,0.9694,True,True,2.0,0.00520171410507626,0.9990316079349384,0.9924999999999999,0.9925,0.9925,True,True,0.00520171410507626,0.001745117770300971
"['x_2 + x_0 >= 0', 'x_3 + x_0 + x_2 == 3']",cardinality+cardinality,4,2, -4*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + 1*x_1 + 1*x_1 x_2 + 4*x_1 x_3 + 3*x_2 + -1*x_2 x_3 + -4*x_3,True,1,0.0017072132560941907,0.9877947751918934,0.9999,1.0,0.9999,True,True,2.0,0.005547732313474019,0.9971809751176669,0.9446999999999998,0.9853,0.9447,True,True,0.005547732313474019,0.0017072132560941907
"['x_0 + x_5 + x_3 + x_2 + x_4 >= 2', 'x_5 + x_2 + x_3 + x_1 >= 2']",cardinality+cardinality,6,2, 2*x_0 + -5*x_0 x_1 + 2*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + 4*x_0 x_5 + -4*x_1 + -5*x_1 x_2 + -5*x_1 x_3 + -5*x_1 x_4 + -5*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + -1*x_2 x_5 + -5*x_3 + -5*x_3 x_5 + -1*x_4 + 1*x_4 x_5 + -1*x_5,True,1,0.0033021099699868097,0.965256435187083,0.4910952380952381,0.9872,0.0014,True,True,1.0,0.005645100209448073,0.9709662734736216,0.5189833333333334,0.9238,0.0618,True,True,0.005645100209448073,0.0033021099699868097
"['x_2 + x_5 + x_3 + x_0 + x_4 <= 3', 'x_4 + x_5 + x_1 + x_2 <= 1']",cardinality+cardinality,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,True,1,0.0029594118727578056,0.9516539564323916,0.42890666666666666,0.8142,0.0002,True,True,1.0,0.005712652934922112,0.9847526999631547,0.6149933333333334,0.8873,0.227,True,True,0.005712652934922112,0.0029594118727578056
"['4*x_1*x_1 + 4*x_1*x_3 + 1*x_1*x_6 + 5*x_1*x_5 + 5*x_3*x_3 + 5*x_3*x_6 + 5*x_3*x_5 + 1*x_6*x_6 + 4*x_6*x_5 + 1*x_5*x_5 <= 11', '7*x_2 + 7*x_6 + 10*x_5 + 2*x_4 <= 10']",quadratic_knapsack+knapsack,7,2, 3*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + -5*x_0 x_4 + -4*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -4*x_1 x_4 + 1*x_1 x_6 + 3*x_2 + 3*x_2 x_3 + 1*x_2 x_4 + -1*x_2 x_5 + -4*x_3 + 2*x_3 x_4 + 1*x_3 x_5 + -5*x_3 x_6 + -5*x_4 + -3*x_4 x_5 + 4*x_4 x_6 + -4*x_5 + -3*x_5 x_6 + 4*x_6,True,1,0.0059191468689176775,0.9702634968943846,0.38749090909090916,0.9754,0.0032,True,True,,,,,,,,False,0.0059191468689176775,0.0059191468689176775
"['5*x_3*x_3 + 2*x_3*x_2 + 2*x_3*x_0 + 3*x_3*x_5 + 1*x_3*x_4 + 1*x_2*x_2 + 4*x_2*x_0 + 4*x_2*x_5 + 3*x_2*x_4 + 1*x_0*x_0 + 3*x_0*x_5 + 1*x_0*x_4 + 5*x_5*x_5 + 1*x_5*x_4 + 5*x_4*x_4 <= 23', '7*x_3 + 10*x_6 + 9*x_1 <= 8']",quadratic_knapsack+knapsack,7,2, 3*x_0 x_2 + 3*x_0 x_3 + 3*x_0 x_4 + -1*x_0 x_5 + 4*x_0 x_6 + -2*x_1 + -2*x_1 x_3 + 2*x_1 x_4 + -5*x_1 x_5 + 3*x_1 x_6 + 1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 1*x_2 x_6 + 4*x_3 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_4 + 3*x_4 x_5 + -1*x_4 x_6 + -4*x_5 + 2*x_5 x_6 + -1*x_6,True,1,0.005943901207711962,0.9428817074817535,0.4111375,0.7561,0.032,True,True,,,,,,,,False,0.005943901207711962,0.005943901207711962
"['x_0 + x_1 + x_4 + x_5 + x_2 == 0', 'x_5 + x_1 <= 0']",cardinality+cardinality,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,True,1,0.001248932613266839,0.9803921238655076,1.0,1.0,1.0,True,True,2.0,0.006262669695748223,0.9961633101844706,0.7443000000000001,0.9415,0.7443,True,True,0.006262669695748223,0.001248932613266839
"['x_3 + x_2 + x_4 + x_1 >= 2', 'x_4 + x_5 + x_0 + x_1 + x_2 >= 1']",cardinality+cardinality,6,2, 1*x_0 + 4*x_0 x_1 + 3*x_0 x_2 + -1*x_0 x_3 + -3*x_0 x_4 + -1*x_1 + -5*x_1 x_2 + -3*x_1 x_3 + -2*x_1 x_4 + -1*x_1 x_5 + -1*x_2 + 4*x_2 x_4 + -5*x_2 x_5 + 3*x_3 + 4*x_3 x_4 + -1*x_3 x_5 + -3*x_4 + 3*x_4 x_5 + 2*x_5,True,1,0.0035950962040159438,0.9712838372728847,0.407015,1.0,0.0004,True,True,1.0,0.006618271536297268,0.9811990398425784,0.5628,0.9601,0.0052,True,True,0.006618271536297268,0.0035950962040159438
"['x_3 + x_2 + x_0 + x_5 + x_1 >= 4', 'x_5 + x_4 == 0']",cardinality+cardinality,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,True,2,0.005926709638701545,0.9960551130167171,,0.9163,0.9163,True,True,2.0,0.006845322118865119,0.9984714361572594,,0.9781,0.9781,True,True,0.006845322118865119,0.005926709638701545
"['x_0 + x_4 + x_1 + x_2 <= 3', 'x_2 + x_1 + x_3 + x_0 + x_4 >= 1']",cardinality+cardinality,5,2, 1*x_0 + 1*x_0 x_1 + -5*x_0 x_2 + -3*x_0 x_4 + -4*x_1 + 2*x_1 x_2 + 3*x_1 x_3 + -3*x_1 x_4 + 1*x_2 + 2*x_2 x_3 + 1*x_2 x_4 + -4*x_3 + -3*x_3 x_4 + -5*x_4,True,1,0.00455800645881229,0.9798842867347471,0.514788888888889,1.0,0.1112,True,True,1.0,0.006910122831662496,0.9688161343428405,0.3843166666666666,0.989,0.0005,True,True,0.006910122831662496,0.00455800645881229
"['x_1 + x_2 - x_0 - x_3 == 0', 'x_2 + x_0 <= 2', 'x_2 + x_3 + x_0 + x_1 >= 3']",cardinality+cardinality+flow,4,3, 1*x_0 + -4*x_0 x_1 + 3*x_0 x_2 + 1*x_0 x_3 + -3*x_1 x_2 + -5*x_1 x_3 + -3*x_2 + -5*x_2 x_3 + -3*x_3,True,2,0.006954192188051012,0.991122520126805,,0.9422,0.9422,True,True,1.0,0.0033528913391960994,0.972642139723286,,0.8964,0.8964,True,True,0.006954192188051012,0.0033528913391960994
"['2*x_2*x_2 + 5*x_2*x_1 + 2*x_2*x_0 + 2*x_1*x_1 + 1*x_1*x_0 + 1*x_0*x_0 <= 7', '3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 5*x_1*x_1 + 2*x_1*x_2 + 2*x_2*x_2 <= 8']",quadratic_knapsack+quadratic_knapsack,3,2, 2*x_0 + -1*x_0 x_1 + -2*x_0 x_2 + 3*x_1 x_2 + -1*x_2,True,1,0.006955473886595832,0.9658167058269382,0.5398333333333333,0.8528,0.3015,True,True,,,,,,,,False,0.006955473886595832,0.006955473886595832
"['1*x_1*x_1 + 2*x_1*x_0 + 1*x_1*x_3 + 1*x_0*x_0 + 5*x_0*x_3 + 1*x_3*x_3 <= 6', '3*x_1*x_1 + 1*x_1*x_2 + 3*x_1*x_3 + 1*x_2*x_2 + 4*x_2*x_3 + 3*x_3*x_3 <= 5']",quadratic_knapsack+quadratic_knapsack,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,True,1,0.006973777280913459,0.9549142164870454,0.3659916666666666,0.9953,0.0043,True,True,,,,,,,,False,0.006973777280913459,0.006973777280913459
"['1*x_4*x_4 + 1*x_4*x_0 + 3*x_4*x_3 + 2*x_4*x_1 + 1*x_0*x_0 + 2*x_0*x_3 + 3*x_0*x_1 + 2*x_3*x_3 + 3*x_3*x_1 + 3*x_1*x_1 <= 7', '1*x_4*x_4 + 5*x_4*x_3 + 1*x_4*x_1 + 3*x_3*x_3 + 3*x_3*x_1 + 5*x_1*x_1 <= 10']",quadratic_knapsack+quadratic_knapsack,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,True,1,0.008401876754230923,0.9502706504660019,0.46332307692307695,0.9995,0.0592,True,True,,,,,,,,False,0.008401876754230923,0.008401876754230923
"['2*x_7*x_7 + 4*x_7*x_4 + 5*x_7*x_1 + 1*x_7*x_3 + 4*x_7*x_2 + 2*x_4*x_4 + 4*x_4*x_1 + 4*x_4*x_3 + 1*x_4*x_2 + 2*x_1*x_1 + 3*x_1*x_3 + 3*x_1*x_2 + 3*x_3*x_3 + 2*x_3*x_2 + 1*x_2*x_2 <= 19', 'x_1 + x_3 + x_5 + x_0 + x_7 >= 1']",quadratic_knapsack+cardinality,8,2, -3*x_0 + -3*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -5*x_0 x_6 + -5*x_0 x_7 + -4*x_1 + -2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_6 + 1*x_1 x_7 + -4*x_2 x_3 + 4*x_2 x_4 + -2*x_2 x_5 + 3*x_2 x_6 + -3*x_2 x_7 + -1*x_3 + -3*x_3 x_4 + -2*x_3 x_5 + -2*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + 1*x_4 x_5 + -5*x_4 x_6 + -1*x_4 x_7 + -4*x_5 + 3*x_5 x_6 + 2*x_5 x_7 + -2*x_6 x_7 + -3*x_7,True,1,0.008819811873965792,0.932036414269976,0.6960615384615384,1.0,0.0444,True,True,,,,,,,,False,0.008819811873965792,0.008819811873965792
"['x_0 + x_1 + x_2 + x_5 <= 1', 'x_2 + x_5 + x_4 + x_6 == 3']",cardinality+cardinality,7,2, 3*x_0 x_2 + 3*x_0 x_3 + 3*x_0 x_4 + -1*x_0 x_5 + 4*x_0 x_6 + -2*x_1 + -2*x_1 x_3 + 2*x_1 x_4 + -5*x_1 x_5 + 3*x_1 x_6 + 1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 1*x_2 x_6 + 4*x_3 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_4 + 3*x_4 x_5 + -1*x_4 x_6 + -4*x_5 + 2*x_5 x_6 + -1*x_6,True,1,0.001992526782883538,0.9834660546492766,0.4383999999999999,0.8748,0.051,True,True,2.0,0.008947114017274644,0.9860823057516016,0.42130000000000006,0.9055,0.1813,True,True,0.008947114017274644,0.001992526782883538
