task_id,constraints_hash,constraint_type,n_x,n_c,qubo_string,families,n_qubits_pc,n_slack_pc,n_struct_pc,n_pen_pc,has_vcg_pc,vcg_missing_pc,sp_total_pc,sp_1q_pc,sp_2q_pc,sp_gates_pc,vcg_sp_gates_pc,layer_total_pc,layer_1q_pc,layer_2q_pc,layer_gates_pc,vcg_layer_gates_pc,n_qubits_p,n_slack_p,sp_total_p,sp_1q_p,sp_2q_p,sp_gates_p,layer_total_p,layer_1q_p,layer_2q_p,layer_gates_p
11,"['1*x_3 + 6*x_0 + 9*x_2 + 8*x_6 + 9*x_1 <= 18', '1*x_7*x_7 + 5*x_7*x_0 + 3*x_7*x_1 + 4*x_0*x_0 + 2*x_0*x_1 + 4*x_1*x_1 <= 7', 'x_3 + x_0 + x_6 + x_5 + x_1 <= 5']",quadratic_knapsack+knapsack+cardinality,8,3, -3*x_0 + -3*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -5*x_0 x_6 + -5*x_0 x_7 + -4*x_1 + -2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_6 + 1*x_1 x_7 + -4*x_2 x_3 + 4*x_2 x_4 + -2*x_2 x_5 + 3*x_2 x_6 + -3*x_2 x_7 + -1*x_3 + -3*x_3 x_4 + -2*x_3 x_5 + -2*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + 1*x_4 x_5 + -5*x_4 x_6 + -1*x_4 x_7 + -4*x_5 + 3*x_5 x_6 + 2*x_5 x_7 + -2*x_6 x_7 + -3*x_7,"['quadratic_knapsack', 'knapsack', 'cardinality']",16,8,1,2,False,False,45,9,30,"{'Hadamard': 8, 'RY': 1, 'CRY': 8, 'SWAP': 2, 'CNOT': 20, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 6}",{},842,418,409,"{'CNOT': 388, 'RZ': 394, 'RY': 2, 'CRY': 16, 'SWAP': 4, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 12, 'X': 10, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=4,num_zero_ctrl=0)': 1, 'RX': 11}",{},19,11,11,11,0,{'Hadamard': 11},513,513,404,"{'CNOT': 404, 'RZ': 494, 'RX': 19}"
12,"['2*x_4*x_4 + 5*x_4*x_1 + 4*x_4*x_3 + 4*x_4*x_2 + 3*x_4*x_0 + 4*x_1*x_1 + 4*x_1*x_3 + 1*x_1*x_2 + 2*x_1*x_0 + 3*x_3*x_3 + 1*x_3*x_2 + 4*x_3*x_0 + 3*x_2*x_2 + 4*x_2*x_0 + 3*x_0*x_0 <= 16', 'x_4 + x_1 + x_2 + x_3 + x_0 <= 0']",quadratic_knapsack+cardinality,5,2, 3*x_0 + 1*x_0 x_2 + 3*x_0 x_4 + -5*x_1 + -3*x_1 x_2 + 3*x_2 + 3*x_2 x_3 + -5*x_2 x_4 + -4*x_3 + 2*x_3 x_4 + -3*x_4,"['quadratic_knapsack', 'cardinality']",10,5,1,1,False,False,5,5,0,{'Hadamard': 5},{},3103,1307,1793,"{'CNOT': 1792, 'RZ': 1291, 'X': 10, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=4,num_zero_ctrl=0)': 1, 'RX': 5}",{},10,5,5,5,0,{'Hadamard': 5},1336,1336,1812,"{'CNOT': 1812, 'RZ': 1326, 'RX': 10}"
13,"['5*x_1*x_1 + 3*x_1*x_3 + 5*x_1*x_5 + 4*x_3*x_3 + 5*x_3*x_5 + 3*x_5*x_5 <= 14', 'x_0 + x_1 + x_4 + x_5 + x_3 >= 3']",cardinality+quadratic_knapsack,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,"['cardinality', 'quadratic_knapsack']",10,4,1,1,True,True,4,4,0,{'Hadamard': 4},{},546,274,272,"{'CNOT': 272, 'RZ': 264, 'RX': 10}",{},12,6,6,6,0,{'Hadamard': 6},353,353,314,"{'CNOT': 314, 'RZ': 341, 'RX': 12}"
14,"['4*x_0*x_0 + 1*x_0*x_1 + 2*x_0*x_4 + 4*x_0*x_3 + 1*x_0*x_2 + 2*x_1*x_1 + 3*x_1*x_4 + 1*x_1*x_3 + 1*x_1*x_2 + 3*x_4*x_4 + 3*x_4*x_3 + 4*x_4*x_2 + 1*x_3*x_3 + 3*x_3*x_2 + 2*x_2*x_2 <= 11', 'x_3 + x_0 + x_4 + x_2 >= 0', 'x_3 + x_1 - x_4 - x_0 == 0']",cardinality+quadratic_knapsack+flow,5,3, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,"['cardinality', 'quadratic_knapsack', 'flow']",12,7,1,2,False,False,19,8,11,"{'Hadamard': 7, 'RY': 1, 'CRY': 3, 'CNOT': 6, 'SWAP': 2}",{},3011,1281,1730,"{'CNOT': 1730, 'RZ': 1265, 'RY': 8, 'RX': 8}",{},12,7,7,7,0,{'Hadamard': 7},1299,1299,1734,"{'CNOT': 1734, 'RZ': 1287, 'RX': 12}"
15,"['x_0 + x_4 + x_5 + x_6 >= 2', 'x_4 + x_3 == 0', 'x_7 + x_1 + x_6 + x_2 + x_5 >= 1']",cardinality+cardinality+cardinality,8,3, 2*x_0 + 3*x_0 x_1 + -2*x_0 x_3 + -1*x_0 x_4 + 3*x_0 x_5 + 4*x_0 x_6 + -5*x_0 x_7 + 4*x_1 + 2*x_1 x_2 + -4*x_1 x_3 + -2*x_1 x_4 + -4*x_1 x_5 + -3*x_1 x_6 + -2*x_1 x_7 + -4*x_2 x_3 + 2*x_2 x_4 + 3*x_2 x_5 + 1*x_2 x_6 + -4*x_2 x_7 + 1*x_3 + -1*x_3 x_4 + 3*x_3 x_5 + -1*x_3 x_6 + -5*x_4 + -4*x_4 x_5 + -5*x_4 x_6 + -3*x_4 x_7 + 3*x_5 + 4*x_5 x_6 + -3*x_5 x_7 + -3*x_7,"['cardinality', 'cardinality', 'cardinality']",10,2,2,1,True,True,2,2,0,{'Hadamard': 2},{},184,100,84,"{'CNOT': 84, 'RZ': 88, 'RY': 4, 'RX': 8}",{},13,5,5,5,0,{'Hadamard': 5},206,206,138,"{'CNOT': 138, 'RZ': 193, 'RX': 13}"
16,"['5*x_2 + 10*x_0 + 1*x_4 + 9*x_6 + 6*x_1 <= 19', 'x_1 + x_6 >= 0', 'x_2 + x_0 >= 1']",cardinality+cardinality+knapsack,8,3, 4*x_0 + 4*x_0 x_1 + -3*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + 2*x_0 x_5 + 1*x_0 x_6 + -2*x_0 x_7 + -4*x_1 + -4*x_1 x_2 + 4*x_1 x_3 + 4*x_1 x_4 + -2*x_1 x_5 + 3*x_1 x_6 + -5*x_1 x_7 + -3*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + 4*x_2 x_5 + -1*x_2 x_7 + -2*x_3 + 3*x_3 x_4 + 4*x_3 x_5 + 4*x_3 x_6 + -1*x_4 + 4*x_4 x_5 + -1*x_4 x_6 + 4*x_4 x_7 + -3*x_5 + 4*x_5 x_6 + 3*x_5 x_7 + -5*x_6 + 4*x_6 x_7 + 4*x_7,"['cardinality', 'cardinality', 'knapsack']",13,5,2,1,True,True,5,5,0,{'Hadamard': 5},{},344,202,142,"{'CNOT': 142, 'RZ': 189, 'RX': 13}",{},16,8,8,8,0,{'Hadamard': 8},242,242,160,"{'CNOT': 160, 'RZ': 226, 'RX': 16}"
17,"['5*x_0*x_0 + 3*x_0*x_3 + 4*x_0*x_2 + 5*x_0*x_1 + 1*x_0*x_5 + 1*x_3*x_3 + 4*x_3*x_2 + 2*x_3*x_1 + 3*x_3*x_5 + 4*x_2*x_2 + 5*x_2*x_1 + 1*x_2*x_5 + 1*x_1*x_1 + 5*x_1*x_5 + 2*x_5*x_5 <= 17', 'x_4 + x_5 + x_0 - x_2 == 0']",flow+quadratic_knapsack,6,2, -4*x_0 + 2*x_0 x_1 + -4*x_0 x_2 + 1*x_0 x_3 + -4*x_0 x_4 + 1*x_1 + 4*x_1 x_2 + -3*x_1 x_3 + -1*x_1 x_5 + 2*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + 3*x_3 + 4*x_3 x_4 + -4*x_3 x_5 + -1*x_4 + 3*x_4 x_5 + -1*x_5,"['flow', 'quadratic_knapsack']",11,5,1,1,False,False,14,6,8,"{'Hadamard': 5, 'RY': 1, 'CRY': 2, 'CNOT': 5, 'SWAP': 1}",{},3124,1312,1812,"{'CNOT': 1812, 'RZ': 1297, 'RY': 8, 'RX': 7}",{},11,5,5,5,0,{'Hadamard': 5},1330,1330,1816,"{'CNOT': 1816, 'RZ': 1319, 'RX': 11}"
18,"['x_0 + x_5 + x_3 + x_2 + x_4 >= 2', 'x_5 + x_2 + x_3 + x_1 >= 2']",cardinality+cardinality,6,2, 2*x_0 + -5*x_0 x_1 + 2*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + 4*x_0 x_5 + -4*x_1 + -5*x_1 x_2 + -5*x_1 x_3 + -5*x_1 x_4 + -5*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + -1*x_2 x_5 + -5*x_3 + -5*x_3 x_5 + -1*x_4 + 1*x_4 x_5 + -1*x_5,"['cardinality', 'cardinality']",8,2,1,1,True,True,2,2,0,{'Hadamard': 2},{},175,105,70,"{'CNOT': 70, 'RZ': 97, 'RX': 8}",{},10,4,4,4,0,{'Hadamard': 4},164,164,100,"{'CNOT': 100, 'RZ': 154, 'RX': 10}"
19,"['9*x_2 + 9*x_0 + 4*x_3 + 1*x_1 <= 9', 'x_2 + x_1 + x_3 + x_4 >= 2']",knapsack+cardinality,5,2, -2*x_0 + -3*x_0 x_1 + -2*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + -5*x_1 + 2*x_1 x_2 + -1*x_1 x_3 + -4*x_1 x_4 + -2*x_2 + -4*x_2 x_3 + -1*x_2 x_4 + -5*x_3 + -5*x_3 x_4,"['knapsack', 'cardinality']",7,2,1,1,True,True,2,2,0,{'Hadamard': 2},{},129,79,50,"{'CNOT': 50, 'RZ': 72, 'RX': 7}",{},11,6,6,6,0,{'Hadamard': 6},183,183,106,"{'CNOT': 106, 'RZ': 172, 'RX': 11}"
20,"['1*x_2*x_2 + 5*x_2*x_5 + 3*x_2*x_0 + 4*x_5*x_5 + 2*x_5*x_0 + 4*x_0*x_0 <= 7', '3*x_1*x_1 + 1*x_1*x_2 + 5*x_1*x_0 + 2*x_1*x_4 + 5*x_1*x_5 + 2*x_2*x_2 + 5*x_2*x_0 + 5*x_2*x_4 + 5*x_2*x_5 + 2*x_0*x_0 + 3*x_0*x_4 + 3*x_0*x_5 + 4*x_4*x_4 + 1*x_4*x_5 + 5*x_5*x_5 <= 18']",quadratic_knapsack+quadratic_knapsack,7,2, 3*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + -5*x_0 x_4 + -4*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -4*x_1 x_4 + 1*x_1 x_6 + 3*x_2 + 3*x_2 x_3 + 1*x_2 x_4 + -1*x_2 x_5 + -4*x_3 + 2*x_3 x_4 + 1*x_3 x_5 + -5*x_3 x_6 + -5*x_4 + -3*x_4 x_5 + 4*x_4 x_6 + -4*x_5 + -3*x_5 x_6 + 4*x_6,"['quadratic_knapsack', 'quadratic_knapsack']",12,5,1,1,True,True,5,5,0,{'Hadamard': 5},{},3130,1316,1814,"{'CNOT': 1814, 'RZ': 1304, 'RX': 12}",{},15,8,8,8,0,{'Hadamard': 8},1523,1523,2018,"{'CNOT': 2018, 'RZ': 1508, 'RX': 15}"
21,"['1*x_0 + 10*x_5 + 3*x_2 + 5*x_4 + 1*x_1 <= 12', '6*x_1 + 2*x_3 + 2*x_4 <= 3']",knapsack+knapsack,6,2, 4*x_0 + 4*x_0 x_1 + -3*x_0 x_2 + -2*x_0 x_3 + -5*x_0 x_4 + 4*x_0 x_5 + -2*x_1 + -5*x_1 x_2 + -2*x_1 x_3 + 3*x_1 x_4 + -5*x_1 x_5 + -1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 2*x_3 + 3*x_3 x_4 + -1*x_3 x_5 + -4*x_4 + -2*x_4 x_5 + -2*x_5,"['knapsack', 'knapsack']",8,2,1,1,True,True,2,2,0,{'Hadamard': 2},{},119,69,50,"{'CNOT': 50, 'RZ': 61, 'RX': 8}",{},12,6,6,6,0,{'Hadamard': 6},199,199,122,"{'CNOT': 122, 'RZ': 187, 'RX': 12}"
22,"['x_1 + x_0 + x_4 <= 1', 'x_4 + x_1 + x_3 == 0']",cardinality+cardinality,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,"['cardinality', 'cardinality']",5,0,1,1,False,False,8,1,7,"{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4}",{},77,37,39,"{'CNOT': 32, 'RZ': 26, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'X': 6, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'RX': 2}",{},6,1,1,1,0,{'Hadamard': 1},58,58,36,"{'CNOT': 36, 'RZ': 52, 'RX': 6}"
23,"['x_2 + x_1 + x_4 + x_0 + x_3 == 3', 'x_2 + x_3 + x_4 + x_0 + x_1 <= 4']",cardinality+cardinality,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,"['cardinality', 'cardinality']",8,3,1,1,False,False,34,6,22,"{'Hadamard': 3, 'X': 3, 'CNOT': 14, 'CRY': 6, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 3, 'CSWAP': 3, 'SWAP': 2}",{},211,127,84,"{'CNOT': 84, 'RZ': 114, 'RY': 10, 'RX': 3}",{},8,3,3,3,0,{'Hadamard': 3},162,162,94,"{'CNOT': 94, 'RZ': 154, 'RX': 8}"
