task_id,constraints_hash,constraint_type,n_x,n_c,qubo_string,families,n_qubits_pc,n_slack_pc,n_struct_pc,n_pen_pc,has_vcg_pc,vcg_missing_pc,sp_total_pc,sp_1q_pc,sp_2q_pc,sp_gates_pc,vcg_sp_gates_pc,layer_total_pc,layer_1q_pc,layer_2q_pc,layer_gates_pc,vcg_layer_gates_pc,n_qubits_p,n_slack_p,sp_total_p,sp_1q_p,sp_2q_p,sp_gates_p,layer_total_p,layer_1q_p,layer_2q_p,layer_gates_p
57,"['5*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_2*x_5 + 3*x_3*x_3 + 1*x_3*x_4 + 4*x_3*x_5 + 5*x_4*x_4 + 5*x_4*x_5 + 1*x_5*x_5 <= 20', 'x_0 + x_1 == 1']",assignment+quadratic_knapsack,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,"['assignment', 'quadratic_knapsack']",6,0,2,0,True,False,378,138,240,"{'X': 1, 'CNOT': 239, 'CRY': 1, 'Hadamard': 4, 'RZ': 105, 'RX': 28}","{'Hadamard': 4, 'CNOT': 238, 'RZ': 105, 'RX': 28}",807,301,506,"{'CNOT': 506, 'RZ': 229, 'RY': 4, 'RX': 60, 'Hadamard': 8}","{'Hadamard': 8, 'CNOT': 476, 'RZ': 210, 'RX': 56}",11,5,5,5,0,{'Hadamard': 5},666,666,790,"{'CNOT': 790, 'RZ': 655, 'RX': 11}"
58,"['x_0 + x_1 + x_2 + x_3 + x_4 >= 1', 'x_5 - x_6 - x_7 == 0']",cardinality+flow,8,2, 1*x_0 + -3*x_0 x_1 + -5*x_0 x_2 + -2*x_0 x_3 + -2*x_0 x_4 + -4*x_0 x_5 + -5*x_0 x_6 + -2*x_0 x_7 + -2*x_1 + 2*x_1 x_4 + 4*x_1 x_5 + -2*x_1 x_6 + -4*x_1 x_7 + -1*x_2 + -5*x_2 x_4 + 4*x_2 x_5 + 2*x_2 x_6 + 2*x_2 x_7 + -5*x_3 + -5*x_3 x_4 + 2*x_3 x_5 + 1*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + -1*x_4 x_5 + 1*x_4 x_6 + 4*x_4 x_7 + 3*x_5 + -2*x_5 x_6 + -2*x_5 x_7 + -5*x_6 + 1*x_6 x_7 + -3*x_7,"['cardinality', 'flow']",8,0,2,0,True,True,6,1,5,"{'RY': 1, 'CRY': 1, 'CNOT': 3, 'SWAP': 1}",{},100,44,56,"{'CNOT': 56, 'RZ': 33, 'RY': 6, 'RX': 5}",{},11,3,3,3,0,{'Hadamard': 3},156,156,112,"{'CNOT': 112, 'RZ': 145, 'RX': 11}"
59,"['x_0 + x_1 + x_2 + x_3 >= 1', 'x_4 + x_5 <= 2']",cardinality+cardinality,6,2, -5*x_0 + -4*x_0 x_1 + -3*x_0 x_2 + -5*x_0 x_3 + 1*x_0 x_4 + -4*x_0 x_5 + -3*x_1 + -1*x_1 x_2 + 3*x_1 x_3 + -2*x_1 x_4 + 4*x_1 x_5 + -2*x_2 + -1*x_2 x_3 + -4*x_2 x_4 + 4*x_3 + -5*x_3 x_4 + 4*x_3 x_5 + -2*x_4 + -5*x_5,"['cardinality', 'cardinality']",6,0,2,0,True,True,6,1,5,"{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 2}",{},67,30,37,"{'CNOT': 30, 'RZ': 19, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 4}",{},10,4,4,4,0,{'Hadamard': 4},112,112,68,"{'CNOT': 68, 'RZ': 102, 'RX': 10}"
60,"['4*x_0 + 6*x_1 + 1*x_2 + 1*x_3 <= 6', 'x_4 + x_5 - x_6 - x_7 == 0']",knapsack+flow,8,2, 1*x_0 + -5*x_0 x_1 + -1*x_0 x_2 + 4*x_0 x_3 + -2*x_0 x_4 + 2*x_0 x_5 + -1*x_0 x_6 + 1*x_1 x_2 + -5*x_1 x_3 + -1*x_1 x_4 + 2*x_1 x_5 + 3*x_1 x_6 + -4*x_1 x_7 + -4*x_2 + -5*x_2 x_3 + -5*x_2 x_4 + -3*x_2 x_5 + 3*x_2 x_7 + -5*x_3 + -2*x_3 x_4 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_3 x_7 + -2*x_4 + 3*x_4 x_5 + -4*x_4 x_6 + 4*x_4 x_7 + -5*x_5 + -3*x_5 x_7 + -5*x_6 + -1*x_6 x_7,"['knapsack', 'flow']",8,0,2,0,True,False,281,100,181,"{'RY': 1, 'CRY': 3, 'CNOT': 176, 'SWAP': 2, 'Hadamard': 4, 'RZ': 75, 'RX': 20}","{'Hadamard': 4, 'CNOT': 170, 'RZ': 75, 'RX': 20}",641,243,398,"{'CNOT': 398, 'RZ': 183, 'RY': 8, 'RX': 44, 'Hadamard': 8}","{'Hadamard': 8, 'CNOT': 340, 'RZ': 150, 'RX': 40}",11,3,3,3,0,{'Hadamard': 3},143,143,104,"{'CNOT': 104, 'RZ': 132, 'RX': 11}"
61,"['2*x_5 + 7*x_6 + 7*x_7 <= 7', 'x_0 + x_1 + x_2 + x_3 + x_4 <= 4']",cardinality+knapsack,8,2, -3*x_0 + -3*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -5*x_0 x_6 + -5*x_0 x_7 + -4*x_1 + -2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_6 + 1*x_1 x_7 + -4*x_2 x_3 + 4*x_2 x_4 + -2*x_2 x_5 + 3*x_2 x_6 + -3*x_2 x_7 + -1*x_3 + -3*x_3 x_4 + -2*x_3 x_5 + -2*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + 1*x_4 x_5 + -5*x_4 x_6 + -1*x_4 x_7 + -4*x_5 + 3*x_5 x_6 + 2*x_5 x_7 + -2*x_6 x_7 + -3*x_7,"['cardinality', 'knapsack']",8,0,2,0,True,False,44,2,36,"{'RY': 2, 'CRY': 9, 'SWAP': 3, 'CNOT': 24, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 6, 'CC_RY': 0, 'CSWAP': 0}","{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4, 'CC_RY': 0, 'CSWAP': 0}",195,53,127,"{'CNOT': 102, 'RZ': 35, 'RY': 4, 'CRY': 18, 'SWAP': 6, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 12, 'X': 10, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=4,num_zero_ctrl=0)': 1, 'RX': 3, 'CC_RY': 0, 'CSWAP': 0}","{'RY': 2, 'CRY': 4, 'SWAP': 2, 'CNOT': 8, 'CC_RY': 0, 'CSWAP': 0}",14,6,6,6,0,{'Hadamard': 6},206,206,140,"{'CNOT': 140, 'RZ': 192, 'RX': 14}"
62,"['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 5*x_1*x_1 + 2*x_1*x_2 + 2*x_2*x_2 <= 8', 'x_3 - x_4 - x_5 == 0']",quadratic_knapsack+flow,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,"['quadratic_knapsack', 'flow']",6,0,2,0,True,False,29,14,15,"{'RY': 1, 'CRY': 1, 'CNOT': 13, 'SWAP': 1, 'Hadamard': 3, 'RZ': 7, 'RX': 3}","{'Hadamard': 3, 'CNOT': 10, 'RZ': 7, 'RX': 3}",106,54,52,"{'CNOT': 52, 'RZ': 33, 'RY': 6, 'RX': 9, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 20, 'RZ': 14, 'RX': 6}",10,4,4,4,0,{'Hadamard': 4},286,286,278,"{'CNOT': 278, 'RZ': 276, 'RX': 10}"
63,"['2*x_0 + 7*x_1 + 7*x_2 <= 7', '5*x_3*x_3 + 1*x_3*x_4 + 3*x_3*x_5 + 1*x_3*x_6 + 4*x_4*x_4 + 1*x_4*x_5 + 5*x_4*x_6 + 4*x_5*x_5 + 2*x_5*x_6 + 3*x_6*x_6 <= 19']",knapsack+quadratic_knapsack,7,2, 4*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + 3*x_0 x_3 + 1*x_0 x_4 + -3*x_0 x_5 + -3*x_0 x_6 + -5*x_1 + -2*x_1 x_2 + -5*x_1 x_3 + -4*x_1 x_4 + -4*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + 2*x_2 x_4 + -4*x_2 x_5 + -4*x_2 x_6 + -2*x_3 + 2*x_3 x_4 + -5*x_3 x_5 + -2*x_3 x_6 + 2*x_4 + 1*x_4 x_5 + 3*x_4 x_6 + 4*x_5 + -4*x_5 x_6 + -2*x_6,"['knapsack', 'quadratic_knapsack']",7,0,2,0,True,False,31,2,26,"{'RY': 2, 'CRY': 7, 'SWAP': 3, 'CNOT': 16, 'CC_RY': 3, 'CSWAP': 0}","{'RY': 2, 'CRY': 7, 'SWAP': 3, 'CNOT': 16, 'CC_RY': 3, 'CSWAP': 0}",136,38,92,"{'CNOT': 72, 'RZ': 27, 'RX': 7, 'RY': 4, 'CRY': 14, 'SWAP': 6, 'CC_RY': 6, 'CSWAP': 0}","{'RY': 4, 'CRY': 14, 'SWAP': 6, 'CNOT': 32, 'CC_RY': 6, 'CSWAP': 0}",15,8,8,8,0,{'Hadamard': 8},728,728,832,"{'CNOT': 832, 'RZ': 713, 'RX': 15}"
64,"['10*x_4 + 8*x_5 + 10*x_6 <= 9', '4*x_0 + 6*x_1 + 2*x_2 + 10*x_3 <= 7']",knapsack+knapsack,7,2, 4*x_0 + 2*x_0 x_1 + -5*x_0 x_3 + 2*x_0 x_4 + -3*x_0 x_5 + 1*x_0 x_6 + -3*x_1 + -4*x_1 x_2 + -1*x_1 x_3 + 1*x_1 x_4 + 3*x_1 x_5 + 2*x_1 x_6 + 4*x_2 x_3 + -1*x_2 x_4 + -3*x_2 x_5 + 4*x_2 x_6 + 2*x_3 + -2*x_3 x_4 + 4*x_3 x_5 + -2*x_3 x_6 + 3*x_4 + -1*x_4 x_6 + 2*x_5 + -2*x_5 x_6 + -1*x_6,"['knapsack', 'knapsack']",7,0,2,0,True,False,68,32,36,"{'Hadamard': 7, 'CNOT': 36, 'RZ': 18, 'RX': 7}","{'Hadamard': 7, 'CNOT': 36, 'RZ': 18, 'RX': 7}",205,95,110,"{'CNOT': 110, 'RZ': 60, 'RX': 21, 'Hadamard': 14}","{'Hadamard': 14, 'CNOT': 72, 'RZ': 36, 'RX': 14}",14,7,7,7,0,{'Hadamard': 7},192,192,122,"{'CNOT': 122, 'RZ': 178, 'RX': 14}"
65,"['1*x_0*x_0 + 5*x_0*x_1 + 1*x_0*x_2 + 3*x_1*x_1 + 3*x_1*x_2 + 5*x_2*x_2 <= 10', 'x_3 + x_4 + x_5 + x_6 + x_7 == 3']",quadratic_knapsack+cardinality,8,2, 4*x_0 + 1*x_0 x_1 + -3*x_0 x_2 + -4*x_0 x_3 + -5*x_0 x_4 + -2*x_0 x_5 + -1*x_0 x_6 + 2*x_0 x_7 + -4*x_1 + 1*x_1 x_2 + 3*x_1 x_3 + 3*x_1 x_4 + -1*x_1 x_5 + -1*x_1 x_6 + -1*x_1 x_7 + -5*x_2 + 4*x_2 x_3 + -3*x_2 x_4 + 4*x_2 x_5 + -2*x_2 x_6 + -3*x_2 x_7 + -5*x_3 + -5*x_3 x_4 + -5*x_3 x_5 + -1*x_3 x_6 + -2*x_3 x_7 + -1*x_4 + -2*x_4 x_5 + 1*x_4 x_6 + -5*x_4 x_7 + -4*x_5 + -5*x_5 x_6 + 3*x_5 x_7 + 4*x_6 + -1*x_6 x_7 + 4*x_7,"['quadratic_knapsack', 'cardinality']",8,0,2,0,True,False,42,12,24,"{'X': 3, 'CNOT': 16, 'CRY': 6, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 3, 'CSWAP': 3, 'SWAP': 2, 'Hadamard': 3, 'RZ': 3, 'RX': 3}","{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}",137,67,70,"{'CNOT': 70, 'RZ': 42, 'RY': 10, 'RX': 9, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 4, 'RZ': 6, 'RX': 6}",12,4,4,4,0,{'Hadamard': 4},333,333,322,"{'CNOT': 322, 'RZ': 321, 'RX': 12}"
66,"['x_0 + x_1 + x_2 >= 1', 'x_3 + x_4 <= 0']",cardinality+cardinality,5,2, -3*x_0 + -4*x_0 x_1 + -5*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + -4*x_1 + -1*x_1 x_2 + -3*x_1 x_3 + -2*x_1 x_4 + -5*x_2 + 4*x_2 x_3 + 1*x_2 x_4 + -2*x_3 + -4*x_3 x_4 + 1*x_4,"['cardinality', 'cardinality']",5,0,2,0,True,True,0,0,0,{},{},44,23,21,"{'CNOT': 20, 'RZ': 15, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 3}",{},7,2,2,2,0,{'Hadamard': 2},67,67,42,"{'CNOT': 42, 'RZ': 60, 'RX': 7}"
67,"['10*x_2 + 8*x_3 + 10*x_4 <= 9', 'x_0*x_1 == 0']",independent_set+knapsack,5,2, -2*x_0 + -3*x_0 x_1 + -2*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + -5*x_1 + 2*x_1 x_2 + -1*x_1 x_3 + -4*x_1 x_4 + -2*x_2 + -4*x_2 x_3 + -1*x_2 x_4 + -5*x_3 + -5*x_3 x_4,"['independent_set', 'knapsack']",5,0,2,0,True,False,16,10,6,"{'RY': 1, 'CRY': 1, 'SWAP': 1, 'CNOT': 4, 'Hadamard': 3, 'RZ': 3, 'RX': 3}","{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}",76,43,33,"{'CNOT': 28, 'RZ': 21, 'RY': 2, 'CRY': 2, 'SWAP': 2, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 9, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 4, 'RZ': 6, 'RX': 6}",9,4,4,4,0,{'Hadamard': 4},104,104,64,"{'CNOT': 64, 'RZ': 95, 'RX': 9}"
68,"['2*x_0 + 5*x_1 + 2*x_2 <= 5', 'x_3 + x_4 + x_5 + x_6 + x_7 >= 5']",knapsack+cardinality,8,2, 1*x_0 + -3*x_0 x_1 + -5*x_0 x_2 + -2*x_0 x_3 + -2*x_0 x_4 + -4*x_0 x_5 + -5*x_0 x_6 + -2*x_0 x_7 + -2*x_1 + 2*x_1 x_4 + 4*x_1 x_5 + -2*x_1 x_6 + -4*x_1 x_7 + -1*x_2 + -5*x_2 x_4 + 4*x_2 x_5 + 2*x_2 x_6 + 2*x_2 x_7 + -5*x_3 + -5*x_3 x_4 + 2*x_3 x_5 + 1*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + -1*x_4 x_5 + 1*x_4 x_6 + 4*x_4 x_7 + 3*x_5 + -2*x_5 x_6 + -2*x_5 x_7 + -5*x_6 + 1*x_6 x_7 + -3*x_7,"['knapsack', 'cardinality']",8,0,2,0,True,False,68,38,30,"{'X': 5, 'Hadamard': 3, 'CNOT': 30, 'RZ': 21, 'RX': 9}","{'Hadamard': 3, 'CNOT': 30, 'RZ': 21, 'RX': 9}",212,102,110,"{'CNOT': 110, 'RZ': 75, 'RX': 21, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 60, 'RZ': 42, 'RX': 18}",11,3,3,3,0,{'Hadamard': 3},141,141,100,"{'CNOT': 100, 'RZ': 130, 'RX': 11}"
69,"['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_1*x_1 + 4*x_1*x_2 + 3*x_2*x_2 <= 5', '5*x_3*x_3 + 1*x_3*x_4 + 2*x_3*x_5 + 5*x_4*x_4 + 1*x_4*x_5 + 3*x_5*x_5 <= 6']",quadratic_knapsack+quadratic_knapsack,6,2, -5*x_0 + -4*x_0 x_1 + -3*x_0 x_2 + -5*x_0 x_3 + 1*x_0 x_4 + -4*x_0 x_5 + -3*x_1 + -1*x_1 x_2 + 3*x_1 x_3 + -2*x_1 x_4 + 4*x_1 x_5 + -2*x_2 + -1*x_2 x_3 + -4*x_2 x_4 + 4*x_3 + -5*x_3 x_4 + 4*x_3 x_5 + -2*x_4 + -5*x_5,"['quadratic_knapsack', 'quadratic_knapsack']",6,0,2,0,True,False,91,44,47,"{'Hadamard': 3, 'CNOT': 44, 'RZ': 28, 'RX': 12, 'RY': 1, 'CRY': 2, 'SWAP': 1, 'CC_RY': 0, 'CSWAP': 0}","{'Hadamard': 3, 'CNOT': 44, 'RZ': 28, 'RX': 12, 'RY': 1, 'CRY': 2, 'SWAP': 1, 'CC_RY': 0, 'CSWAP': 0}",233,113,120,"{'CNOT': 114, 'RZ': 75, 'RX': 30, 'Hadamard': 6, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'CC_RY': 0, 'CSWAP': 0}","{'Hadamard': 6, 'CNOT': 88, 'RZ': 56, 'RX': 24, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'CC_RY': 0, 'CSWAP': 0}",12,6,6,6,0,{'Hadamard': 6},439,439,434,"{'CNOT': 434, 'RZ': 427, 'RX': 12}"
70,"['4*x_2*x_2 + 5*x_2*x_3 + 2*x_2*x_4 + 5*x_2*x_5 + 4*x_3*x_3 + 3*x_3*x_4 + 5*x_3*x_5 + 3*x_4*x_4 + 2*x_4*x_5 + 3*x_5*x_5 <= 22', 'x_0 - x_1 == 0']",flow+quadratic_knapsack,6,2, 2*x_0 + -5*x_0 x_1 + 2*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + 4*x_0 x_5 + -4*x_1 + -5*x_1 x_2 + -5*x_1 x_3 + -5*x_1 x_4 + -5*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + -1*x_2 x_5 + -5*x_3 + -5*x_3 x_5 + -1*x_4 + 1*x_4 x_5 + -1*x_5,"['flow', 'quadratic_knapsack']",6,0,2,0,True,False,27,16,11,"{'RY': 1, 'CNOT': 11, 'Hadamard': 4, 'RZ': 7, 'RX': 4}","{'Hadamard': 4, 'CNOT': 10, 'RZ': 7, 'RX': 4}",110,58,52,"{'CNOT': 52, 'RZ': 34, 'RY': 4, 'RX': 12, 'Hadamard': 8}","{'Hadamard': 8, 'CNOT': 20, 'RZ': 14, 'RX': 8}",11,5,5,5,0,{'Hadamard': 5},665,665,792,"{'CNOT': 792, 'RZ': 654, 'RX': 11}"
71,"['2*x_0 + 5*x_1 + 2*x_2 <= 5', 'x_3 + x_4 + x_5 >= 0']",knapsack+cardinality,6,2, 4*x_0 + -1*x_0 x_1 + 3*x_0 x_2 + -1*x_0 x_3 + -4*x_0 x_4 + 1*x_0 x_5 + 3*x_1 + 1*x_1 x_2 + -3*x_1 x_3 + -5*x_1 x_4 + -2*x_1 x_5 + -2*x_2 + -4*x_2 x_3 + -3*x_2 x_4 + 2*x_2 x_5 + -5*x_3 + -2*x_3 x_4 + 4*x_4 + -5*x_5,"['knapsack', 'cardinality']",6,0,2,0,True,True,63,33,30,"{'Hadamard': 3, 'CNOT': 30, 'RZ': 21, 'RX': 9}","{'Hadamard': 3, 'CNOT': 30, 'RZ': 21, 'RX': 9}",177,91,86,"{'CNOT': 86, 'RZ': 61, 'RX': 24, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 60, 'RZ': 42, 'RX': 18}",11,5,5,5,0,{'Hadamard': 5},122,122,76,"{'CNOT': 76, 'RZ': 111, 'RX': 11}"
72,"['x_0 + x_1 + x_2 >= 2', 'x_3 + x_4 + x_5 + x_6 <= 3']",cardinality+cardinality,7,2, -4*x_0 + 4*x_0 x_1 + -2*x_0 x_2 + -2*x_0 x_3 + 4*x_0 x_4 + -5*x_0 x_5 + -1*x_0 x_6 + -3*x_1 x_2 + 4*x_1 x_3 + 2*x_1 x_4 + 1*x_1 x_5 + -5*x_1 x_6 + -5*x_2 + -4*x_2 x_3 + 1*x_2 x_4 + -3*x_2 x_5 + 2*x_2 x_6 + -3*x_3 + 3*x_3 x_4 + 4*x_4 + -2*x_4 x_5 + 1*x_4 x_6 + -4*x_5 + -4*x_5 x_6 + -5*x_6,"['cardinality', 'cardinality']",7,0,2,0,True,True,23,1,19,"{'RY': 1, 'CRY': 5, 'SWAP': 2, 'CNOT': 12, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 3}",{},125,40,77,"{'CNOT': 62, 'RZ': 26, 'RY': 2, 'CRY': 10, 'SWAP': 4, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 6, 'X': 8, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'RX': 3}",{},10,3,3,3,0,{'Hadamard': 3},119,119,80,"{'CNOT': 80, 'RZ': 109, 'RX': 10}"
73,"['1*x_0*x_0 + 2*x_0*x_1 + 1*x_0*x_2 + 1*x_1*x_1 + 5*x_1*x_2 + 1*x_2*x_2 <= 6', 'x_3 + x_4 + x_5 + x_6 <= 1']",quadratic_knapsack+cardinality,7,2, -4*x_0 + -1*x_0 x_1 + 4*x_0 x_2 + 2*x_0 x_3 + -5*x_0 x_4 + 2*x_0 x_5 + -5*x_0 x_6 + 3*x_1 + 3*x_1 x_2 + 4*x_1 x_4 + 3*x_1 x_5 + -2*x_1 x_6 + -5*x_2 + 2*x_2 x_3 + -5*x_2 x_4 + 1*x_2 x_5 + 3*x_2 x_6 + -5*x_3 + -4*x_3 x_4 + 4*x_3 x_5 + 1*x_3 x_6 + -4*x_4 + -5*x_4 x_5 + -5*x_4 x_6 + -3*x_5 x_6 + 3*x_6,"['quadratic_knapsack', 'cardinality']",7,0,2,0,True,False,55,34,21,"{'RY': 1, 'CRY': 3, 'SWAP': 2, 'CNOT': 16, 'Hadamard': 3, 'RZ': 15, 'RX': 15}","{'Hadamard': 3, 'CNOT': 10, 'RZ': 15, 'RX': 15}",192,107,83,"{'CNOT': 72, 'RZ': 57, 'RY': 2, 'CRY': 6, 'SWAP': 4, 'X': 8, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'RX': 33, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 20, 'RZ': 30, 'RX': 30}",11,4,4,4,0,{'Hadamard': 4},282,282,264,"{'CNOT': 264, 'RZ': 271, 'RX': 11}"
74,"['7*x_0 + 10*x_1 + 9*x_2 <= 8', 'x_3 + x_4 + x_5 + x_6 <= 2']",knapsack+cardinality,7,2, 3*x_0 + -2*x_0 x_2 + -1*x_0 x_3 + -5*x_0 x_4 + 1*x_0 x_5 + 2*x_0 x_6 + -5*x_1 x_2 + -4*x_1 x_3 + -3*x_1 x_4 + -2*x_1 x_5 + 2*x_1 x_6 + 4*x_2 + 3*x_2 x_3 + -2*x_2 x_4 + -1*x_2 x_5 + 4*x_3 + 3*x_3 x_4 + 4*x_3 x_6 + -3*x_4 + -3*x_4 x_5 + 3*x_4 x_6 + 3*x_5 + 4*x_5 x_6 + -4*x_6,"['knapsack', 'cardinality']",7,0,2,0,True,False,30,10,18,"{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 12, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 2, 'Hadamard': 3, 'RZ': 3, 'RX': 3}","{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}",136,57,73,"{'CNOT': 60, 'RZ': 31, 'RY': 2, 'CRY': 8, 'SWAP': 4, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 4, 'X': 8, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'RX': 9, 'Hadamard': 6}","{'Hadamard': 6, 'CNOT': 4, 'RZ': 6, 'RX': 6}",13,6,6,6,0,{'Hadamard': 6},172,172,108,"{'CNOT': 108, 'RZ': 159, 'RX': 13}"
75,"['x_0 + x_1 - x_2 == 0', 'x_3 + x_4 + x_5 <= 3', 'x_6*x_7 == 0']",flow+cardinality+independent_set,8,3, 1*x_0 + -3*x_0 x_1 + -5*x_0 x_2 + -2*x_0 x_3 + -2*x_0 x_4 + -4*x_0 x_5 + -5*x_0 x_6 + -2*x_0 x_7 + -2*x_1 + 2*x_1 x_4 + 4*x_1 x_5 + -2*x_1 x_6 + -4*x_1 x_7 + -1*x_2 + -5*x_2 x_4 + 4*x_2 x_5 + 2*x_2 x_6 + 2*x_2 x_7 + -5*x_3 + -5*x_3 x_4 + 2*x_3 x_5 + 1*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + -1*x_4 x_5 + 1*x_4 x_6 + 4*x_4 x_7 + 3*x_5 + -2*x_5 x_6 + -2*x_5 x_7 + -5*x_6 + 1*x_6 x_7 + -3*x_7,"['flow', 'cardinality', 'independent_set']",8,0,3,0,False,False,24,3,20,"{'RY': 3, 'CRY': 6, 'CNOT': 11, 'SWAP': 3, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 1}",{},146,55,88,"{'CNOT': 72, 'RZ': 33, 'RY': 10, 'CRY': 10, 'SWAP': 4, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 2, 'X': 10, 'PhaseShift': 2, 'CRZ': 2, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1}",{},10,2,2,2,0,{'Hadamard': 2},98,98,78,"{'CNOT': 78, 'RZ': 88, 'RX': 10}"
